result_name,value,set_id,dim_name_1,dim_value_1,dim_name_2,dim_value_2,dim_name_3,dim_value_3,dim_name_4,dim_value_4,dim_name_5,dim_value_5,dim_name_6,dim_value_6,measure_id,name,description,source_name
name=HOSPITAL VALUE|||unit=%,100,1,Data Element,Ethnicity,Issue Period,2004 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1529,Ethnicity is unknown for >=20% of cases.,Ethnicity is unknown for >=20% of cases.,PHIS
name=PHIS MEDIAN|||unit=%,95.3466,1,Data Element,Ethnicity,Issue Period,2004 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1529,Ethnicity is unknown for >=20% of cases.,Ethnicity is unknown for >=20% of cases.,PHIS
name=PHIS MEDIAN|||unit=%,5.9,2,Data Element,Patient Type,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1571,Normal newborn rate is >5% of neonates.,Normal newborn rate >5% of neonates age <=28 days. (MS-DRG 795 or CMS DRG 391 if MS-DRG not available),PHIS
name=PHIS MEDIAN|||unit=%,0,2,Data Element,Patient Type,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1572,OB-GYN (MDC 14) rate is >=.5%.,OB-GYN (MDC 14) rate is >=.5%.,PHIS
name=HOSPITAL VALUE|||unit=%,0.9,2,Data Element,Patient Type,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1572,OB-GYN (MDC 14) rate is >=.5%.,OB-GYN (MDC 14) rate is >=.5%.,PHIS
name=HOSPITAL VALUE|||unit=%,9.2,2,Data Element,Patient Type,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1571,Normal newborn rate is >5% of neonates.,Normal newborn rate >5% of neonates age <=28 days. (MS-DRG 795 or CMS DRG 391 if MS-DRG not available),PHIS
name=HOSPITAL VALUE|||unit=,2,3,Data Element,Patient Type,Issue Period,2004 Q2,Patient Type,All Other,Hospital Name,Children's Hospital Colorado,,,,,2311,Other data quality not assessed. Data may not be reliable.,Patient Type 5 (All Other) data quality has not been assessed and may not be reliable for comparative data analysis. (Patient Type 5 count >=1),PHIS
name=PHIS MEDIAN|||unit=,,3,Data Element,Patient Type,Issue Period,2004 Q2,Patient Type,All Other,Hospital Name,Children's Hospital Colorado,,,,,2311,Other data quality not assessed. Data may not be reliable.,Patient Type 5 (All Other) data quality has not been assessed and may not be reliable for comparative data analysis. (Patient Type 5 count >=1),PHIS
name=HOSPITAL VALUE|||unit=MRNs,2,4,Data Element,Medical Record Number,Issue Period,2008 Q1,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1562,Medical Record Number duplicate count (>1 Date of Birth),Medical Record Number duplicate count (>1 Date of Birth),PHIS
name=PHIS MEDIAN|||unit=cases,,4,Data Element,Medical Record Number,Issue Period,2008 Q1,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1560,Medical Record Number (>1 Date of Birth) duplicate cases,Medical Record Number (>1 Date of Birth) duplicate cases,PHIS
name=HOSPITAL VALUE|||unit=cases,4,4,Data Element,Medical Record Number,Issue Period,2008 Q1,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1560,Medical Record Number (>1 Date of Birth) duplicate cases,Medical Record Number (>1 Date of Birth) duplicate cases,PHIS
name=PHIS MEDIAN|||unit=MRNs,,4,Data Element,Medical Record Number,Issue Period,2008 Q1,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1562,Medical Record Number duplicate count (>1 Date of Birth),Medical Record Number duplicate count (>1 Date of Birth),PHIS
name=HOSPITAL VALUE|||unit=%,100,5,Data Element,Px Start Hour (Principal Px),Issue Period,2010 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1961,PPx start hour is missing for 100% of PPx.,Principal Px start hour is missing for 100% of Principal Px. (Start Hour = 99),PHIS
name=PHIS MEDIAN|||unit=%,,5,Data Element,Px Start Hour (Principal Px),Issue Period,2010 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1961,PPx start hour is missing for 100% of PPx.,Principal Px start hour is missing for 100% of Principal Px. (Start Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=%,1,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1278,Financial data missing rate. (CTC Flag=No and >=.5%),Financial data missing rate >= .5% of cases. (CTC Flag=No and rate >= .5% and <100%),PHIS
name=HOSPITAL VALUE|||unit=%,0.9,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1254,Billed charges unmapped rate >$1 mil or >5% of billed chgs,Unmapped billed charge rate (CTC Code = 69999999) >$1 million or >5% of total billed charges. Unmapped charges are not available for analysis.,PHIS
